s_no,continent ,river ,length_km,length_miles,drainage_area,average_discharge ,outflow 
66,Africa,Ruki,"1,300",804,"173,790","4,450",Congo River
67,South America,Juruena,"1,240",770,,"4,350",TapajÃ³s
68,Asia,Red (Hong),"1,149",714,"143,600","4,300",Pacific Ocean
69,Africa,Zambezi,"2,574","1,599","1,331,000","4,134",Indian Ocean
70,Asia,Kolyma,"2,129","1,317","644,000","4,130",Arctic Ocean
71,Europe,Kama,"1,805","1,122","507,000","4,100",Volga River
72,South America,Apaporis,"1,370",847,"54,300","4,092",JapurÃ¡ River
73,South America,AripuanÃ£,870,540,"145,000","4,087",Madeira River
74,South America,VaupÃ©s/Uaupes,"1,050",649,"67,800","4,040",Rio Negro
75,South America,Teles Pires,"1,638","1,013","141,718","4,000",TapajÃ³s River
76,Oceania,Digul,853,,"45,600","4,000",Arafura Sea
77,South America,Huallaga,"1,138",704,"95,000","3,796",MaraÃ±Ã³n River
78,Asia,Nizhnyaya Tunguska,"2,989","1,848","473,000","3,697",Yenisei River
79,Asia,Upper Meghna,"1,040",643,"82,000","3,600",Meghna River
80,South America,Caura,723,449,"52,000","3,545",Orinoco River
81,Asia,Godavari,"1,465",910,"312,812","3,505",Indian Ocean
82,North America,Fraser,"1,375",854,"220,000","3,475",Pacific Ocean
83,Asia,Kaladan,450,278,,"3,468",Indian Ocean
84,South America,Jutai,"1,200",742,"74,000","3,462",Amazon
85,Asia,Northern Dvina,744,462,"357,052","3,332",Arctic Ocean
86,Asia,Khatanga,"1,636","1,012","364,000","3,320",Arctic Ocean
87,Oceania,Kikori,405,250,"23,309","3,274",Pacific Ocean
88,South America,InÃ­rida,"1,300",804,"54,000","3,200",Guaviare River
89,Asia,Ghaghara,"1,080",671,"127,950","2,993",Ganga River
90,Asia,Irtysh,"4,248","2,627","1,673,470","2,980",Ob River
91,Asia,Yamuna,"1,376",855,"366,223","2,949",Ganga River
92,South America,SÃ£o Francisco,"2,830","1,758","641,000","2,943",Atlantic Ocean
93,Europe,Rhine,"1,233",820,"198,735","2,900",Atlantic Ocean
94,South America,Beni,"1,100",680,"131,500","2,875",Madre de Dios River
95,Asia,Gan,599,372,"103,107","2,861",Yangtze River
96,South America,Trombetas,"1,060",656,"135,239","2,855",Amazon River
97,Asia,Min,735,,"133,000","2,850",Yangtze River
98,Africa,Nile,"6,853","4,258","3,400,000","2,830",Atlantic Ocean
99,North America,Koksoak,137,85,"133,400","2,800",Arctic Ocean
100,South America,Pastaza,740,458,"41,000","2,770",MaraÃ±Ã³n River
101,South America,Iriri,"1,300",810,"130,000","2,745",Xingu River
102,South America,Tigre,940,581,"54,200","2,720",MaraÃ±Ã³n River
103,Africa,Kwango,"1,100",680,"263,500","2,700",Kasai River
104,Asia,Yellow,"5,464","3,395","752,000","2,571",Pacific Ocean
105,South America,Atrato,750,466,"36,231","2,569",Atlantic Ocean
106,Asia,Pyasina,818,508,"182,000","2,550",Arctic Ocean
107,Asia,Amu Darya,"2,400","1,491","534,739","2,525",Aral Sea
108,Africa,Sankuru,"1,200",756,"156,000","2,500",Kasai River
109,South America,TietÃª,"1,150",715,"150,000","2,500",ParanÃ¡ River
110,Asia,Koshi,729,453,"69,300","2,500",Ganga River
111,Africa,Sangha,790,489,"213,400","2,471",Congo River
112,Asia,Songhua,"1,434",887,"557,180","2,463",Amur River
113,Europe,Neva,74,46,"281,000","2,445",Atlantic Ocean
114,North America,Missouri,"3,767","2,341","1,371,010","2,445",Mississippi River
115,North America,Liard,"1,115",693,"277,100","2,434",Mackenzie River
116,South America,Guapore,"1,260",783,"341,000","2,430",MamorÃ© River
117,South America,Rio Grande,"1,360",841,"143,000","2,400",ParanÃ¡ River
118,Africa,Benue,"1,370",847,,"2,400",Niger River
119,North America,Nelson,"2,575",1600,"982,900","2,370",Arctic Ocean
120,South America,Cauca,"1,180",730,"59,840","2,364",Magdalena River
121,South America,YarÃ­,620,383,"31,650","2,360",JapurÃ¡ River
122,South America,Urubamba,724,448,"60,300","2,330",Ucayali River
123,South America,Apure,"1,038",645,"121,400","2,300",Orinoco River
124,Asia,Krishna River,"1,400",870,"258,948","2,213",Indian Ocean
125,Asia,Xiang,948,589,"94,721","2,157",Yangtze River
126,North America,St. Marys,120,75,"127,700","2,135",Lake Huron
127,Asia,Jialing,"1,345",836,"160,000","2,120",Yangtze River
128,Asia,Mahanadi,858,533,"141,600","2,119",Indian Ocean
129,North America,Peace,"1,923","1,195","306,000","2,110",Slave River
130,Asia,Olyokma,"1,436",892,"210,000","2,110",Lena River
131,South America,San Juan,380,240,"15,000","2,055",Pacific Ocean
132,Asia,Hongshui,669.6,416.1,"141,674","2,049",Xi River
133,Asia,Gandaki,814,506,"46,300","2,025",Ganga River
134,South America,Ventuari,520,322,"40,000","2,000",Orinoco River
135,South America,Vichada,580,359,"25,000","2,000",Orinoco River
136,Africa,Aruwimi,"1,030",640,"116,100","2,000",Congo River
